timestamp,open,high,low,close,volume
2023-01-01 22:00:00+00:00,1.0697,1.07066,1.06788,1.06929,2477.42
2023-01-01 23:00:00+00:00,1.06896,1.07047,1.06829,1.07005,4932.96
2023-01-02 00:00:00+00:00,1.07007,1.07058,1.06912,1.0704,3522.13
2023-01-02 01:00:00+00:00,1.07041,1.07087,1.06919,1.06977,432.28
2023-01-02 02:00:00+00:00,1.06977,1.06977,1.06862,1.06904,1581.3
2023-01-02 03:00:00+00:00,1.06904,1.07027,1.06886,1.06899,2716.1
2023-01-02 04:00:00+00:00,1.06896,1.0702,1.06887,1.06993,5497.87
2023-01-02 05:00:00+00:00,1.06994,1.06997,1.06872,1.06938,2880.01
2023-01-02 06:00:00+00:00,1.06943,1.06996,1.06741,1.06894,3402.87
2023-01-02 07:00:00+00:00,1.06891,1.06922,1.06632,1.06786,9999.77
2023-01-02 08:00:00+00:00,1.06794,1.06971,1.06712,1.0679,12153.07
2023-01-02 09:00:00+00:00,1.06791,1.06994,1.06766,1.06786,11658.43
2023-01-02 10:00:00+00:00,1.06786,1.06896,1.06743,1.06833,5019.83
2023-01-02 11:00:00+00:00,1.06833,1.06864,1.068,1.06842,3199.84
2023-01-02 12:00:00+00:00,1.06841,1.0687,1.06763,1.06822,4065.64
2023-01-02 13:00:00+00:00,1.06822,1.06863,1.0677,1.06784,4702.53
2023-01-02 14:00:00+00:00,1.06783,1.06819,1.06702,1.06722,4346.57
2023-01-02 15:00:00+00:00,1.06723,1.06739,1.0658,1.066,4860.66
2023-01-02 16:00:00+00:00,1.06598,1.06705,1.0651,1.06545,9419.14
2023-01-02 17:00:00+00:00,1.06545,1.06619,1.06539,1.06599,6005.49
2023-01-02 18:00:00+00:00,1.06601,1.06606,1.06508,1.06519,6279.9
2023-01-02 19:00:00+00:00,1.0652,1.06586,1.06499,1.06561,1491.74
2023-01-02 20:00:00+00:00,1.0656,1.06697,1.06546,1.0663,8741.79
2023-01-02 21:00:00+00:00,1.0663,1.06725,1.06593,1.06646,3901.17
2023-01-02 22:00:00+00:00,1.06646,1.06653,1.06627,1.06634,681.6
2023-01-02 23:00:00+00:00,1.06652,1.06833,1.06499,1.06765,16056.33
2023-01-03 00:00:00+00:00,1.06764,1.06783,1.06666,1.06704,12331.48
2023-01-03 01:00:00+00:00,1.06703,1.06741,1.06503,1.06597,21817.06
2023-01-03 02:00:00+00:00,1.06597,1.06776,1.06575,1.06763,13008.5
2023-01-03 03:00:00+00:00,1.06763,1.06783,1.06688,1.06722,9479.57
2023-01-03 04:00:00+00:00,1.06722,1.06801,1.06669,1.06672,5399.21
2023-01-03 05:00:00+00:00,1.06673,1.06706,1.06589,1.06634,13431.8
2023-01-03 06:00:00+00:00,1.06633,1.06676,1.06513,1.06521,13234.15
2023-01-03 07:00:00+00:00,1.06525,1.06585,1.06199,1.06236,22707.55
2023-01-03 08:00:00+00:00,1.06237,1.06282,1.05506,1.05517,46672.28
2023-01-03 09:00:00+00:00,1.05518,1.05609,1.05339,1.05473,43667.95
2023-01-03 10:00:00+00:00,1.05474,1.05547,1.05252,1.05308,31343.19
2023-01-03 11:00:00+00:00,1.05309,1.05359,1.05194,1.05282,22413.82
2023-01-03 12:00:00+00:00,1.05281,1.05491,1.05238,1.05355,20857.63
2023-01-03 13:00:00+00:00,1.05354,1.05697,1.05303,1.056,33079.7
2023-01-03 14:00:00+00:00,1.05599,1.05973,1.05554,1.05739,40254.3
2023-01-03 15:00:00+00:00,1.05742,1.05818,1.05544,1.05554,46211.0
2023-01-03 16:00:00+00:00,1.05554,1.05586,1.05371,1.05579,35820.69
2023-01-03 17:00:00+00:00,1.05579,1.05589,1.05401,1.0546,20670.79
2023-01-03 18:00:00+00:00,1.0546,1.05605,1.0543,1.05563,15136.76
2023-01-03 19:00:00+00:00,1.05564,1.05681,1.0555,1.05662,17830.23
2023-01-03 20:00:00+00:00,1.05664,1.05688,1.05505,1.05514,16550.97
2023-01-03 21:00:00+00:00,1.05514,1.05537,1.0546,1.05466,3983.64
2023-01-03 22:00:00+00:00,1.05461,1.0548,1.0545,1.05474,7989.24
2023-01-03 23:00:00+00:00,1.05474,1.05542,1.05403,1.05455,10254.26
2023-01-04 00:00:00+00:00,1.05453,1.0561,1.0545,1.05579,11795.7
2023-01-04 01:00:00+00:00,1.0558,1.05695,1.05569,1.05667,13425.75
2023-01-04 02:00:00+00:00,1.05666,1.05692,1.05614,1.05647,9573.61
2023-01-04 03:00:00+00:00,1.05648,1.05697,1.05647,1.05687,5333.15
2023-01-04 04:00:00+00:00,1.05688,1.05743,1.05658,1.05727,6139.13
2023-01-04 05:00:00+00:00,1.05726,1.05784,1.05644,1.05691,10793.93
2023-01-04 06:00:00+00:00,1.05691,1.05749,1.05594,1.057,12589.15
2023-01-04 07:00:00+00:00,1.05698,1.06057,1.05667,1.05937,21754.11
2023-01-04 08:00:00+00:00,1.05938,1.06354,1.059,1.06157,29527.57
2023-01-04 09:00:00+00:00,1.06157,1.06299,1.06054,1.06106,15640.78
2023-01-04 10:00:00+00:00,1.06105,1.06227,1.06082,1.06206,10854.37
2023-01-04 11:00:00+00:00,1.06206,1.06242,1.06021,1.06043,8933.97
2023-01-04 12:00:00+00:00,1.06044,1.06109,1.05986,1.06071,10708.57
2023-01-04 13:00:00+00:00,1.06072,1.06195,1.05948,1.06104,28650.62
2023-01-04 14:00:00+00:00,1.06104,1.06282,1.0602,1.06239,33588.56
2023-01-04 15:00:00+00:00,1.06239,1.0625,1.0581,1.0603,64931.08
2023-01-04 16:00:00+00:00,1.0603,1.06205,1.05926,1.06187,32286.32
2023-01-04 17:00:00+00:00,1.0619,1.06198,1.06046,1.06071,16213.02
2023-01-04 18:00:00+00:00,1.06069,1.06127,1.05954,1.05988,14104.24
2023-01-04 19:00:00+00:00,1.0599,1.06066,1.0585,1.06053,39582.49
2023-01-04 20:00:00+00:00,1.06053,1.06101,1.06009,1.06032,17305.5
2023-01-04 21:00:00+00:00,1.06035,1.0608,1.06008,1.06008,2998.14
2023-01-04 22:00:00+00:00,1.06006,1.06102,1.05997,1.06055,7174.86
2023-01-04 23:00:00+00:00,1.06056,1.06112,1.06025,1.06061,6022.62
2023-01-05 00:00:00+00:00,1.06058,1.06311,1.06029,1.06289,14575.63
2023-01-05 01:00:00+00:00,1.06291,1.06314,1.06184,1.06203,14202.31
2023-01-05 02:00:00+00:00,1.06202,1.06202,1.06088,1.06176,10853.65
2023-01-05 03:00:00+00:00,1.06175,1.06196,1.06061,1.06069,8948.14
2023-01-05 04:00:00+00:00,1.0607,1.06115,1.06033,1.0604,9074.31
2023-01-05 05:00:00+00:00,1.06041,1.06106,1.06016,1.06104,10218.36
2023-01-05 06:00:00+00:00,1.06107,1.06199,1.06027,1.0603,10886.51
2023-01-05 07:00:00+00:00,1.06031,1.06121,1.05901,1.06052,18220.52
2023-01-05 08:00:00+00:00,1.06052,1.06278,1.06049,1.06199,22975.39
2023-01-05 09:00:00+00:00,1.062,1.06288,1.06093,1.06232,20346.19
